run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K10_sw3_lam1.0,10,3,1.0,0,model.input_blocks.0,53,147,0.265,2.44688645,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,1,model.input_blocks.1,53,147,0.265,2.44688645,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,2,model.input_blocks.10,53,147,0.265,2.44688645,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,3,model.input_blocks.11,53,147,0.265,2.44791062,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,4,model.input_blocks.2,53,147,0.265,2.57807831,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,5,model.input_blocks.3,53,147,0.265,2.54724183,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,6,model.input_blocks.4,53,147,0.265,2.51767171,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,7,model.input_blocks.5,53,147,0.265,2.44688645,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,8,model.input_blocks.6,53,147,0.265,2.44688645,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,9,model.input_blocks.7,53,147,0.265,2.49838258,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,10,model.input_blocks.8,53,147,0.265,2.51833109,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,11,model.input_blocks.9,53,147,0.265,2.55523285,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,12,model.middle_block,53,147,0.265,2.50995479,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,13,model.output_blocks.0,53,147,0.265,2.83910857,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,14,model.output_blocks.1,53,147,0.265,2.52834746,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,15,model.output_blocks.10,53,147,0.265,2.69222654,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,16,model.output_blocks.11,54,146,0.27,3.10822876,4;4;4;4;4;4;2;2
sweep_K10_sw3_lam1.0,10,3,1.0,17,model.output_blocks.2,53,147,0.265,2.44688645,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,18,model.output_blocks.3,53,147,0.265,2.44688645,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,19,model.output_blocks.4,53,147,0.265,2.51936826,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,20,model.output_blocks.5,53,147,0.265,2.59569786,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,21,model.output_blocks.6,53,147,0.265,2.46649814,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,22,model.output_blocks.7,53,147,0.265,2.6341422,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,23,model.output_blocks.8,53,147,0.265,2.49352983,4;4;4;4;4;4;2;3
sweep_K10_sw3_lam1.0,10,3,1.0,24,model.output_blocks.9,53,147,0.265,2.72057635,4;4;4;4;4;4;2;3
sweep_K10_sw5_lam1.0,10,5,1.0,0,model.input_blocks.0,53,147,0.265,2.8591954,4;3;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,1,model.input_blocks.1,53,147,0.265,2.8591954,4;3;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,2,model.input_blocks.10,53,147,0.265,2.8591954,4;3;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,3,model.input_blocks.11,53,147,0.265,2.86020349,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,4,model.input_blocks.2,53,147,0.265,3.00181545,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,5,model.input_blocks.3,53,147,0.265,2.96633275,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,6,model.input_blocks.4,53,147,0.265,2.94010253,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,7,model.input_blocks.5,53,147,0.265,2.8591954,4;3;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,8,model.input_blocks.6,53,147,0.265,2.8591954,4;3;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,9,model.input_blocks.7,53,147,0.265,2.90641475,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,10,model.input_blocks.8,53,147,0.265,2.92544694,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,11,model.input_blocks.9,53,147,0.265,2.95479917,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,12,model.middle_block,53,147,0.265,2.91670503,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,13,model.output_blocks.0,53,147,0.265,3.23753416,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,14,model.output_blocks.1,53,147,0.265,2.9404472,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,15,model.output_blocks.10,53,147,0.265,3.08823227,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,16,model.output_blocks.11,54,146,0.27,3.63696586,4;3;4;4;4;2;2;1
sweep_K10_sw5_lam1.0,10,5,1.0,17,model.output_blocks.2,53,147,0.265,2.8591954,4;3;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,18,model.output_blocks.3,53,147,0.265,2.8591954,4;3;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,19,model.output_blocks.4,53,147,0.265,2.92287872,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,20,model.output_blocks.5,53,147,0.265,2.99965249,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,21,model.output_blocks.6,53,147,0.265,2.87819499,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,22,model.output_blocks.7,53,147,0.265,3.04921883,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,23,model.output_blocks.8,53,147,0.265,2.8997354,4;4;4;4;4;2;2;2
sweep_K10_sw5_lam1.0,10,5,1.0,24,model.output_blocks.9,53,147,0.265,3.16907986,4;3;4;4;4;2;2;2
sweep_K10_sw9_lam1.0,10,9,1.0,0,model.input_blocks.0,52,148,0.26,2.43333333,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,1,model.input_blocks.1,52,148,0.26,2.43333333,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,2,model.input_blocks.10,52,148,0.26,2.43333333,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,3,model.input_blocks.11,52,148,0.26,2.43407574,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,4,model.input_blocks.2,52,148,0.26,2.56222084,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,5,model.input_blocks.3,52,148,0.26,2.53145045,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,6,model.input_blocks.4,52,148,0.26,2.49781548,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,7,model.input_blocks.5,52,148,0.26,2.43333333,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,8,model.input_blocks.6,52,148,0.26,2.43333333,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,9,model.input_blocks.7,52,148,0.26,2.46842846,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,10,model.input_blocks.8,52,148,0.26,2.48201085,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,11,model.input_blocks.9,52,148,0.26,2.51117357,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,12,model.middle_block,52,148,0.26,2.47640684,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,13,model.output_blocks.0,52,148,0.26,2.72846156,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,14,model.output_blocks.1,52,148,0.26,2.49169946,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,15,model.output_blocks.10,52,148,0.26,2.61990053,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,16,model.output_blocks.11,53,147,0.265,3.05162672,2;4;4;4;2;3;2
sweep_K10_sw9_lam1.0,10,9,1.0,17,model.output_blocks.2,52,148,0.26,2.43333333,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,18,model.output_blocks.3,52,148,0.26,2.43333333,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,19,model.output_blocks.4,52,148,0.26,2.47966732,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,20,model.output_blocks.5,52,148,0.26,2.53751804,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,21,model.output_blocks.6,52,148,0.26,2.44651572,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,22,model.output_blocks.7,52,148,0.26,2.58061604,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,23,model.output_blocks.8,52,148,0.26,2.47035824,2;4;4;4;2;3;3
sweep_K10_sw9_lam1.0,10,9,1.0,24,model.output_blocks.9,52,148,0.26,2.63594001,2;4;4;4;2;3;3
sweep_K15_sw3_lam1.0,15,3,1.0,0,model.input_blocks.0,54,146,0.27,3.81356085,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,1,model.input_blocks.1,54,146,0.27,3.81356085,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,2,model.input_blocks.10,54,146,0.27,3.81356085,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,3,model.input_blocks.11,54,146,0.27,3.8148854,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,4,model.input_blocks.2,54,146,0.27,3.96217435,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,5,model.input_blocks.3,54,146,0.27,3.93369999,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,6,model.input_blocks.4,54,146,0.27,3.89443512,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,7,model.input_blocks.5,54,146,0.27,3.81356085,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,8,model.input_blocks.6,54,146,0.27,3.81356085,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,9,model.input_blocks.7,54,146,0.27,3.88045778,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,10,model.input_blocks.8,54,146,0.27,3.90628165,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,11,model.input_blocks.9,54,146,0.27,3.95323053,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,12,model.middle_block,54,146,0.27,3.89508245,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,13,model.output_blocks.0,54,146,0.27,4.32181086,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,14,model.output_blocks.1,54,146,0.27,3.91462686,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,15,model.output_blocks.10,54,146,0.27,4.12586605,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,16,model.output_blocks.11,55,145,0.275,4.53293817,4;2;4;4;4;4;4;4;3;4;2;2
sweep_K15_sw3_lam1.0,15,3,1.0,17,model.output_blocks.2,54,146,0.27,3.81356085,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,18,model.output_blocks.3,54,146,0.27,3.81356085,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,19,model.output_blocks.4,54,146,0.27,3.91720466,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,20,model.output_blocks.5,54,146,0.27,4.01381482,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,21,model.output_blocks.6,54,146,0.27,3.83799356,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,22,model.output_blocks.7,54,146,0.27,4.07828636,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,23,model.output_blocks.8,54,146,0.27,3.86771455,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw3_lam1.0,15,3,1.0,24,model.output_blocks.9,54,146,0.27,4.13823545,4;2;4;4;4;4;4;4;3;4;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,0,model.input_blocks.0,54,146,0.27,3.87359307,4;3;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,1,model.input_blocks.1,54,146,0.27,3.87359307,4;3;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,2,model.input_blocks.10,54,146,0.27,3.87359307,4;3;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,3,model.input_blocks.11,54,146,0.27,3.8748921,4;4;4;4;4;4;4;4;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,4,model.input_blocks.2,54,146,0.27,4.03344158,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,5,model.input_blocks.3,54,146,0.27,4.00737717,4;4;4;4;4;4;4;4;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,6,model.input_blocks.4,54,146,0.27,3.96310384,4;4;4;4;4;4;4;4;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,7,model.input_blocks.5,54,146,0.27,3.87359307,4;3;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,8,model.input_blocks.6,54,146,0.27,3.87359307,4;3;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,9,model.input_blocks.7,54,146,0.27,3.9350347,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,10,model.input_blocks.8,54,146,0.27,3.95848484,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,11,model.input_blocks.9,54,146,0.27,4.00249061,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,12,model.middle_block,54,146,0.27,3.94966091,4;4;4;4;4;4;4;4;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,13,model.output_blocks.0,54,146,0.27,4.37430348,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,14,model.output_blocks.1,54,146,0.27,3.97615522,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,15,model.output_blocks.10,54,146,0.27,4.16900589,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,16,model.output_blocks.11,55,145,0.275,4.65586824,4;3;4;4;4;4;4;3;4;2;2;2
sweep_K15_sw5_lam1.0,15,5,1.0,17,model.output_blocks.2,54,146,0.27,3.87359307,4;3;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,18,model.output_blocks.3,54,146,0.27,3.87359307,4;3;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,19,model.output_blocks.4,54,146,0.27,3.96206844,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,20,model.output_blocks.5,54,146,0.27,4.05659562,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,21,model.output_blocks.6,54,146,0.27,3.89758217,4;4;4;4;4;4;4;4;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,22,model.output_blocks.7,54,146,0.27,4.10563359,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,23,model.output_blocks.8,54,146,0.27,3.9283493,4;4;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw5_lam1.0,15,5,1.0,24,model.output_blocks.9,54,146,0.27,4.2351496,4;3;4;4;4;4;4;3;4;2;2;3
sweep_K15_sw9_lam1.0,15,9,1.0,0,model.input_blocks.0,53,147,0.265,4.27777778,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,1,model.input_blocks.1,53,147,0.265,4.27777778,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,2,model.input_blocks.10,53,147,0.265,4.27777778,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,3,model.input_blocks.11,53,147,0.265,4.27911376,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,4,model.input_blocks.2,53,147,0.265,4.44368164,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,5,model.input_blocks.3,53,147,0.265,4.40999551,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,6,model.input_blocks.4,53,147,0.265,4.36819383,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,7,model.input_blocks.5,53,147,0.265,4.27777778,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,8,model.input_blocks.6,53,147,0.265,4.27777778,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,9,model.input_blocks.7,53,147,0.265,4.34372393,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,10,model.input_blocks.8,53,147,0.265,4.3683449,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,11,model.input_blocks.9,53,147,0.265,4.41025109,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,12,model.middle_block,53,147,0.265,4.35410536,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,13,model.output_blocks.0,53,147,0.265,4.74056518,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,14,model.output_blocks.1,53,147,0.265,4.37711153,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,15,model.output_blocks.10,53,147,0.265,4.54064657,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,16,model.output_blocks.11,54,146,0.27,5.11441084,2;4;4;4;4;4;4;4;2;2;2;1
sweep_K15_sw9_lam1.0,15,9,1.0,17,model.output_blocks.2,53,147,0.265,4.27777778,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,18,model.output_blocks.3,53,147,0.265,4.27777778,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,19,model.output_blocks.4,53,147,0.265,4.37081818,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,20,model.output_blocks.5,53,147,0.265,4.47765838,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,21,model.output_blocks.6,53,147,0.265,4.30332489,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,22,model.output_blocks.7,53,147,0.265,4.53931899,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,23,model.output_blocks.8,53,147,0.265,4.33125625,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K15_sw9_lam1.0,15,9,1.0,24,model.output_blocks.9,53,147,0.265,4.59318906,2;4;4;4;4;4;4;4;2;2;2;2
sweep_K20_sw3_lam1.0,20,3,1.0,0,model.input_blocks.0,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,1,model.input_blocks.1,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,2,model.input_blocks.10,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,3,model.input_blocks.11,55,145,0.275,4.86716204,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,4,model.input_blocks.2,55,145,0.275,5.02912252,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,5,model.input_blocks.3,55,145,0.275,5.00580868,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,6,model.input_blocks.4,55,145,0.275,4.9596777,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,7,model.input_blocks.5,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,8,model.input_blocks.6,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,9,model.input_blocks.7,55,145,0.275,4.9479017,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,10,model.input_blocks.8,55,145,0.275,4.98490768,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,11,model.input_blocks.9,55,145,0.275,5.03503877,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,12,model.middle_block,55,145,0.275,4.96460987,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,13,model.output_blocks.0,55,145,0.275,5.47503468,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,14,model.output_blocks.1,55,145,0.275,4.99017635,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,15,model.output_blocks.10,55,145,0.275,5.32741819,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,16,model.output_blocks.11,56,144,0.28,5.72500435,4;2;4;4;4;2;4;4;4;3;4;3;4;2;2
sweep_K20_sw3_lam1.0,20,3,1.0,17,model.output_blocks.2,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
sweep_K20_sw3_lam1.0,20,3,1.0,18,model.output_blocks.3,55,145,0.275,4.86553847,4;2;4;4;4;2;4;4;4;3;4;3;4;2;3
